CCAA,Comunidad,Poblacion,Latitud,Longitud
MD,Madrid,6640705,40.433333,-3.683333
PV,País Vasco,2178048,42.85,-2.683333
CT,Cataluña,7565099,41.383333,2.166667
RI,La Rioja,313582,42.464653,-2.4458
AN,Andalucía,8426405,37.366667,-5.983333
CM,Castilla la Mancha,2035505,39.856528,-4.025111
CL,Castilla y León,2408083,41.633333,-4.716667
NC,Navarra,649966,42.818333,-1.644167
AS,Asturias,1022293,43.36,-5.845
VC,Comunidad Valenciana,4974475,39.47,-0.376667
GA,Galicia,2700330,42.866667,-8.55
AR,Aragón,1320794,41.65635,-0.876566
CB,Canarias,2207225,28.15,-15.416667
EX,Extremadura,1065371,38.9,-6.333333
MC,Murcia,1487698,37.986111,-1.130278
IB,Baleares,1187808,39.566667,2.65
CN,Cantabria,581684,43.45,-3.8
ML,Melilla,84714,35.291667,-2.938333
CE,Ceuta,85209,35.888056,-5.316111
