,Date,Country/Region,Lat,Long,Cases,Country,nuevos_infectados,tasa_contagio
0,2020-01-22,Afghanistan,33.0,65.0,0,Afghanistan,,
152,2020-01-23,Afghanistan,33.0,65.0,0,Afghanistan,0.0,
304,2020-01-24,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
456,2020-01-25,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
608,2020-01-26,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
760,2020-01-27,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
912,2020-01-28,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1064,2020-01-29,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1216,2020-01-30,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1368,2020-01-31,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
1520,2020-02-01,Afghanistan,33.0,65.0,0,Afghanistan,-2.0,-1.0
3192,2020-02-02,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
4864,2020-02-03,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
5016,2020-02-04,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5168,2020-02-05,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5320,2020-02-06,Afghanistan,33.0,65.0,0,Afghanistan,-8.0,-1.0
5472,2020-02-07,Afghanistan,33.0,65.0,0,Afghanistan,-10.0,-1.0
5624,2020-02-08,Afghanistan,33.0,65.0,0,Afghanistan,-10.0,-1.0
5776,2020-02-09,Afghanistan,33.0,65.0,0,Afghanistan,-13.0,-1.0
1672,2020-02-10,Afghanistan,33.0,65.0,0,Afghanistan,-6.0,-1.0
1824,2020-02-11,Afghanistan,33.0,65.0,0,Afghanistan,-14.0,-1.0
1976,2020-02-12,Afghanistan,33.0,65.0,0,Afghanistan,-15.0,-1.0
2128,2020-02-13,Afghanistan,33.0,65.0,0,Afghanistan,-15.0,-1.0
2280,2020-02-14,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2432,2020-02-15,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2584,2020-02-16,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2736,2020-02-17,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
2888,2020-02-18,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3040,2020-02-19,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3344,2020-02-20,Afghanistan,33.0,65.0,0,Afghanistan,-6.0,-1.0
3496,2020-02-21,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3648,2020-02-22,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3800,2020-02-23,Afghanistan,33.0,65.0,0,Afghanistan,-16.0,-1.0
3952,2020-02-24,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4104,2020-02-25,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4256,2020-02-26,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4408,2020-02-27,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4560,2020-02-28,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
4712,2020-02-29,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
5928,2020-03-01,Afghanistan,33.0,65.0,1,Afghanistan,-12.0,-0.9230769230769231
7296,2020-03-02,Afghanistan,33.0,65.0,1,Afghanistan,-65.0,-0.9848484848484849
7448,2020-03-03,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7600,2020-03-04,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7752,2020-03-05,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
7904,2020-03-06,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
8056,2020-03-07,Afghanistan,33.0,65.0,1,Afghanistan,-15.0,-0.9375
8208,2020-03-08,Afghanistan,33.0,65.0,4,Afghanistan,-14.0,-0.7777777777777778
8360,2020-03-09,Afghanistan,33.0,65.0,4,Afghanistan,-26.0,-0.8666666666666667
6080,2020-03-10,Afghanistan,33.0,65.0,5,Afghanistan,-11.0,-0.6875
6232,2020-03-11,Afghanistan,33.0,65.0,7,Afghanistan,-24.0,-0.7741935483870968
6384,2020-03-12,Afghanistan,33.0,65.0,7,Afghanistan,-31.0,-0.8157894736842105
6536,2020-03-13,Afghanistan,33.0,65.0,7,Afghanistan,-32.0,-0.8205128205128205
6688,2020-03-14,Afghanistan,33.0,65.0,11,Afghanistan,-36.0,-0.7659574468085106
6840,2020-03-15,Afghanistan,33.0,65.0,16,Afghanistan,-37.0,-0.6981132075471698
6992,2020-03-16,Afghanistan,33.0,65.0,21,Afghanistan,-35.0,-0.625
7144,2020-03-17,Afghanistan,33.0,65.0,22,Afghanistan,-39.0,-0.639344262295082
1,2020-01-22,Albania,41.1533,20.1683,0,Albania,0.0,
153,2020-01-23,Albania,41.1533,20.1683,0,Albania,0.0,
